videoId,channelId,video_url
Xgyq1NTmBmU,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=Xgyq1NTmBmU
s6jrQSyjzGM,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=s6jrQSyjzGM
Y5P9LVW_3cc,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=Y5P9LVW_3cc
EVAmEw8--6o,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=EVAmEw8--6o
xBa_eYcdCZw,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=xBa_eYcdCZw
Yhx2Xbyro2s,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=Yhx2Xbyro2s
_pmV_HaQ2LQ,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=_pmV_HaQ2LQ
SCJGrhKJQAI,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=SCJGrhKJQAI
ijgV5Ph9ALE,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=ijgV5Ph9ALE
JwWiUNUyjLE,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=JwWiUNUyjLE
IJUACC67KW0,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=IJUACC67KW0
t2-cz5OTl-0,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=t2-cz5OTl-0
Nc3oTP2eK30,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=Nc3oTP2eK30
Skx4jxzpyIs,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=Skx4jxzpyIs
KQmpB5USQOk,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=KQmpB5USQOk
zH19CUbFcm4,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=zH19CUbFcm4
YzigY1th5iU,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=YzigY1th5iU
IEAIJDbM5fI,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=IEAIJDbM5fI
k-1e2FY97ZU,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=k-1e2FY97ZU
AHQfuXVBQfA,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=AHQfuXVBQfA
JEennqZTfQA,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=JEennqZTfQA
uqwsgjBAg_U,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=uqwsgjBAg_U
nJSi6P4P15s,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=nJSi6P4P15s
